1880,3,Отрарский РОВД,ст.188 ч.3,9/24/18 16:00,null,null,443241.3086,4730561.109
1880,2,г.Кызылорда МВД,ст.188 ч.2,12/10/18 11:00,КОРКЫТ АТА,129,225531.573,4972448.087
2770,2,г.Сатпаев МВД,ст.277 ч.2,12/9/18 23:30,на землях г.Сатпаева,73/1,389023.1084,5307410.559
1050,2,Осакаровский район МВД,ст.105 ч.1,12/10/18 5:00,КОМАРОВА,44,761886.5818,5595272.715
1880,2,г.Жезказган МВД,ст.188 ч.1,12/9/18 18:00,null,null,402642.0228,5293555.053
1900,2,р-н им.Казыбек би г.Караганды  Центральный ОП,ст.190 ч.2,11/20/18 10:00,ТИШБЕКА АХАНОВА,56,793982.3105,5526952.818
1900,2,р-н им.Казыбек би г.Караганды  Центральный ОП,ст.190 ч.2,11/21/18 11:00,ТИШБЕКА АХАНОВА,56,793982.3105,5526952.818
1900,2,р-н им.Казыбек би г.Караганды  Центральный ОП,ст.190 ч.2,10/18/18 10:40,ТИШБЕКА АХАНОВА,56,793982.3105,5526952.818
1910,3,р-н им.Казыбек би г.Караганды  Центральный ОП,ст.191 ч.2,12/10/18 20:30,ЕРМЕКОВА,52,794673.643,5523886.123
1880,2,р-н им.Казыбек би г.Караганды  Центральный ОП,ст.188 ч.2,12/10/18 16:00,КОСМОНАВТОВ,1В,795486.3286,5523227.824
1900,1,УВД Наурызбайского района ДВД города Алматы,ст.190 ч.1,7/16/18 14:00,null,null,1136599.741,4810326.83
1900,1,УВД Наурызбайского района ДВД города Алматы,ст.190 ч.1,7/16/18 14:00,null,null,1135135.193,4810973.11
1940,3,г.Шахтинск МВД,ст.194 ч.2,11/26/18 16:30,ЛЕНИНГРАДСКАЯ,73,758736.2636,5510937.725
1880,2,район Турара Рыскулова МВД,ст.188 ч.2,12/10/18 3:00,САРЫБАЙ АКУРПЕК,2,760777.1431,4760116.969
1890,2,г.Жезказган МВД,ст.189 ч.2,12/10/18 13:03,САКЕНА СЕЙФУЛЛИНА,5,402801.8803,5293833.148
1900,2,р-н им.Казыбек би г.Караганды  Юго-Восточный  ОП,ст.190 ч.2,12/8/18 16:20,БАУЫРЖАН МОМЫШУЛЫ,28,798203.6554,5521385.224
1910,2,"ГУ ""Южный отдел ОВД г.Костанай""",ст.191 ч.1,12/10/18 12:00,7,12,138454.3706,5906250.504
1870,1,Кызылжарский район МВД,ст.187 ч.1,12/9/18 0:00,null,null,506329.8455,6069230.261
1880,2,г.Шахтинск МВД,ст.188 ч.2,12/9/18 23:00,РЕЧНАЯ,21А,766000.7677,5510214.474
1050,2,г.Шахтинск МВД,ст.105 ч.1,12/10/18 21:30,ПАРКОВАЯ,43А,757802.3266,5512247.584
1900,2,г.Костанай МВД,ст.190 ч.2,12/10/18 16:00,АЛЬ-ФАРАБИ,43,142182.3349,5909021.178
1900,2,г.Костанай МВД,ст.190 ч.2,11/24/18 11:00,ПОБЕДЫ,85,142242.5563,5910119.311
1900,1,УВД Наурызбайского района ДВД города Алматы,ст.190 ч.1,7/16/18 14:00,null,null,1135082.276,4809835.4
1050,2,РОВД Сырымский район ЗКО,ст.105 ч.1,12/10/18 6:15,АКДАЛА,11,-664003.7345,5697489.119
1870,1,г.Тараз МВД Железнодорожный район (ОП-3),ст.187 ч.1,12/10/18 20:22,НОВОСТРОЙКА,1,691934.4104,4754107.248
1900,2,ОВД Аль-Фарабийского района,ст.190 ч.2,4/15/18 15:00,null,null,546976.5682,4681766.376
1880,2,ЛОВД на ст. Кандыагаш,ст.188 ч.2,12/10/18 10:00,null,null,-329190.474,5520121.448
2930,1,г.Актау МВД,ст.293 ч.1,12/10/18 10:00,15,4,-941084.8834,4991337.111
2870,1,Абайский ОП УВД г.Уральск,ст.287 ч.1,12/10/18 14:20,Даумова,40,-728292.8229,5822706.471
1880,2,Саздинский ОП г.Актобе,ст.188 ч.1,12/9/18 18:30,М.АРЫНОВА,3,-338268.8053,5635308.494
1880,2,Кентауский ГОВД,ст.188 ч.2,12/10/18 1:00,null,null,459229.8384,4818297.068
1900,2,р-н им.Казыбек би г.Караганды  Центральный ОП,ст.190 ч.2,12/9/18 16:30,БЫТОВАЯ,18-Jan,794152.1542,5522101.363
1880,2,г.Павлодар Южный отдел  внутренних органов,ст.188 ч.1,12/10/18 13:08,КАМЗИНА,58,1044017.488,5822682.492
1880,2,УВД района Есиль,ст.188 ч.1,12/10/18 16:53,ҚАБАНБАЙ БАТЫР,36,669042.5407,5666686.746
1900,1,ДВД Кызылординской области,ст.190 ч.1,7/21/18 10:00,null,null,220154.4323,4973723.03
1880,2,Октябрьский р-н г.Караганды Кировский ОП,ст.188 ч.1,12/9/18 7:30,МОЛОДЕЖНАЯ,11,789398.386,5531855.071
1900,2,"ГУ ""Южный отдел ОВД г.Костанай""",ст.190 ч.2,12/9/18 18:30,С.БАЙМАГАМБЕТОВА,1-Mar,139802.3731,5906724.538
1880,2,Шиелийский район МВД,ст.188 ч.2,10/27/18 0:00,жоқ,жоқ,292004.0283,4921190.038
1880,2,г.Кызылорда МВД,ст.188 ч.2,12/10/18 3:30,ШУГЫЛА,11,225768.0954,4970747.282
1880,2,г.Кызылорда МВД,ст.188 ч.2,12/10/18 19:30,АККАЙЫН,18,223829.338,4966728.395
1880,2,Карасуский район МВД,ст.188 ч.1,7/20/18 5:00,null,null,271341.9828,5776815.479
1870,1,г.Караганда Железнодорожный ОП,ст.187 ч.1,12/7/18 11:00,РАБОЧАЯ,48,802861.8715,5542891.702
1070,1,г. Павлодар Северный отдел внутренних дел,ст.107 ч.1,12/8/18 5:00,КАМЗИНА,4,1043817.121,5823924.191
1920,3,г.Костанай МВД,ст.192 ч.1,12/10/18 19:39,А.БАЙТУРСЫНОВА,45,141372.4809,5909446.582
1880,2,Сузакский РОВД,ст.188 ч.2,12/10/18 4:00,ОТКЕЛБАЕВ ЖАКСЫБЕРГЕН,164,457670.5781,4888854.644
1880,2,Тарановский район МВД,ст.188 ч.2,12/10/18 19:00,ЛУГОВАЯ,1Б,63818.5816,5873114.179
1880,2,Восточно-Казахстанский р-н   ЛОВД на ст. Защита,ст.188 ч.2,11/20/18 11:00,null,null,1312672.021,5255162.338
1880,2,РУВД Бостандыкского района,ст.188 ч.1,11/26/18 14:30,null,null,1141929.78,4809310.968
1880,2,"Городской отдел полиции ""Батыс (Запад)""",ст.188 ч.2,12/9/18 23:30,М.ТОЛЕБАЕВА,183,1237265.901,5027185.077
1880,2,4 отдел полиции Каратауского района УВД г.Шымкента,ст.188 ч.2,12/10/18 1:00,null,null,549896.6327,4694751.649
1900,2,РОП УВД района «Сарыарка» г. Астана,ст.190 ч.2,12/10/18 20:00,Шәймерден Қосшығұлұлы,16,666821.8362,5671539.85
1900,1,Карасайский район МВД,ст.190 ч.1,10/14/17 16:30,null,null,1132211.518,4815185.457
1880,2,УВД района Есиль,ст.188 ч.1,10/9/18 23:00,"КЕРЕЙ, ЖӘНІБЕК ХАНДАР",12Б,669048.0918,5665407.738
1880,2,г.Кокшетау УВД,ст.188 ч.2,12/10/18 21:00,Е.Н.АУЕЛЬБЕКОВА,112,525742.4159,5903810.902
1880,2,г.Кокшетау УВД,ст.188 ч.2,12/10/18 21:13,С.КОВАЛЕВСКОЙ,66,529039.4888,5905254.539
1880,2,Каратальский район МВД,ст.188 ч.1,7/15/18 14:00,С.НУСУПБЕКОВА,50,1210881.197,5024952.925
1880,2,Алматинский РУВД,ст.188 ч.2,8/19/18 0:00,ГЕНЕРАЛ САБЫР РАҚЫМОВ,31-Jan,670430.5387,5670968.349
1880,2,р-н им.Казыбек би г.Караганды  Центральный ОП,ст.188 ч.1,12/10/18 16:20,АЛИХАНОВА,null,795116.2132,5525730.977
1880,2,УВД г.Байконыр,ст.188 ч.2,3/9/18 17:00,5 мкр,27,56893.2127,5069421.384
1900,1,УВД Наурызбайского района ДВД города Алматы,ст.190 ч.1,4/24/18 11:00,null,null,1133616.482,4815701.224
1900,2,УВД района Есиль,ст.190 ч.2,5/30/18 15:15,САРАЙШЫҚ,13-Jan,670425.0762,5667647.025
1050,2,г.Кокшетау УВД,ст.105 ч.1,12/10/18 20:17,ГРОМОВОЙ,100,524506.874,5901393.729
